id,title,regions,modes,scene,political_hook,choice,effects,outcome,source
classic_crossing_block_party,Crossing Block Party,RustBelt / Beltway,classic,enc-checkpoint,libraries,Share two water and towel bundles,"{""supplies"": -2, ""sanity"": 1}",You pass out cold towels. The librarian saves one for the next official who works up a sweat attacking free books.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_freeway_mural,Freeway Mural Crew,RustBelt,classic,enc-street,names,Help paint the base coat,"{""hp"": -1, ""morale"": 2}","Arms aching, you finish a coat. The billionaire's sign contributes its usual share of the labor.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_freeway_mural,Freeway Mural Crew,RustBelt,classic,enc-street,names,Donate two supply packs,"{""supplies"": -2, ""credibility"": 2}",Your contribution fits in the photo without its own dedication plaque.,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_freeway_mural,Freeway Mural Crew,RustBelt,classic,enc-street,names,Join the artists’ photo,"{""credibility"": 1}",All six of you squeeze into the photo. The billionaire’s name stays above everyone’s head. Even the overpass has an org chart.,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_mail_drop,Mail Drop Pickup,Heartland / RustBelt,classic,enc-community,bullets,Read and save the letters,"{""sanity"": 1, ""morale"": 2, ""add_receipt"": ""classic_mail_drop""}","You save the letters, laughing. The cat's performance-management system is just as arbitrary, but considerably fluffier.",https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
classic_mail_drop,Mail Drop Pickup,Heartland / RustBelt,classic,enc-community,bullets,"Record a short, accurate reply","{""credibility"": 2, ""supplies"": 1}","Update recorded, road pack collected. Your next five accomplishments will be performed with your mouth full.",https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
classic_mail_drop,Mail Drop Pickup,Heartland / RustBelt,classic,enc-community,bullets,Sort urgent letters; share one pack,"{""supplies"": -1, ""morale"": 1}",One snack pack fuels sorting. Someone labels the empty wrapper “Employee of the Month.”,https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
classic_media_training,Who Gets to Say ‘No Comment’?,Heartland / RustBelt / Beltway / PacificCoast / MountainWest / Southwest,classic,enc-media-workshop,signal,Practice with the published chat,"{""sanity"": 1, ""credibility"": 2}",Transcript checked. Your answer survives a follow-up question without blaming the microphone.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
classic_media_training,Who Gets to Say ‘No Comment’?,Heartland / RustBelt / Beltway / PacificCoast / MountainWest / Southwest,classic,enc-media-workshop,signal,Let crewmates take the microphone,"{""morale"": 2}","One does a flawless cabinet impression: talks for two minutes, answers nothing, requests a promotion.",https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
classic_mutual_aid,Pop-up Mutual Aid,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-community,food,Give two bundles; share their appeal,"{""supplies"": -2, ""credibility"": 2}",You film the food being unloaded. Your financial transparency report comes with dented cans.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_mutual_aid,Pop-up Mutual Aid,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-community,food,Load for $10 and one food bundle,"{""hp"": -1, ""morale"": 2, ""supplies"": 1, ""cash_cents"": 1000}","Dinner, ten dollars, and a backache. Management is a folding chair. You prefer it.",https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_mutual_aid,Pop-up Mutual Aid,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-community,food,Give one bundle; post their wishlist,"{""credibility"": 1, ""supplies"": -1}","You share the wishlist. It contains beans, rice, and no exciting opportunities for private equity.",https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_mutual_aid_dispatch,Mutual Aid Dispatch Center,Heartland / Beltway,classic,enc-radio,food,Deliver two food bundles in your van,"{""supplies"": -2, ""credibility"": 2}",You make both drop-offs. Nobody commissions a feasibility study of the front steps.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_mutual_aid_dispatch,Mutual Aid Dispatch Center,Heartland / Beltway,classic,enc-radio,food,Donate one bundle of radio batteries,"{""supplies"": -1, ""morale"": 2}",The radio crackles back. Kevin announces 'We have beans.' Something worth a national address.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_mutual_aid_dispatch,Mutual Aid Dispatch Center,Heartland / Beltway,classic,enc-radio,food,Keep a copy of the needs tally,"{""sanity"": 1, ""add_receipt"": ""classic_mutual_aid_dispatch""}",You keep the tally for Washington. Kevin has listed every shortage. 'Nobody could have known' will have to explain page two.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
classic_neighborhood_watch,The Street Formerly Known as the Street,RustBelt / Beltway,classic,enc-street,names,Check the posted help numbers,"{""credibility"": 2}",Numbers checked and saved. You can now ask “Where are we?” without first hearing about the mayor’s accomplishments.,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_neighborhood_watch,The Street Formerly Known as the Street,RustBelt / Beltway,classic,enc-street,names,Move the board; correct the arrows,"{""hp"": -1, ""supplies"": 1}","Sore arms, one road pack earned. The arrows point somewhere besides the mayor's achievements.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_neighborhood_watch,The Street Formerly Known as the Street,RustBelt / Beltway,classic,enc-street,names,Follow the residents' directions,"{""morale"": 1}",You find the exit. The crew celebrates like somebody's successfully canceled a subscription.,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/
classic_overpass_stage,Overpass Pop-Up Stage,RustBelt / Beltway,classic,enc-street,libraries,Share the troupe's public stream,"{""credibility"": 2}",You post the show. The sock puppet has better comic timing and fewer conflicts of interest.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_overpass_stage,Overpass Pop-Up Stage,RustBelt / Beltway,classic,enc-street,libraries,Join the post-show discussion,"{""hp"": -1, ""morale"": 3}",You question the puppet until hoarse. He demands security. The director shuts him in a sock drawer.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_press_briefing,Forecast: Still Your Problem,Beltway,classic,enc-media-workshop,weather,Answer with the saved weather alerts,"{""sanity"": -1, ""credibility"": 2}","You cross-check every date, exhausted. The storm had issued clearer instructions than your shift manager.",https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
classic_press_briefing,Forecast: Still Your Problem,Beltway,classic,enc-media-workshop,weather,Send a short account while resting,"{""hp"": 1}","Feet up, you send two sentences. The passenger seat offers better accommodation than your old employer.",https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
classic_press_briefing,Forecast: Still Your Problem,Beltway,classic,enc-media-workshop,weather,Record an interview; verify the dates,"{""credibility"": 2, ""add_receipt"": ""classic_press_briefing""}",You save the verified recording. The warning said ‘stay home.’ Payroll’s version had different weather.,https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
classic_press_pool_qna,"An Interview, Between Refills",Beltway,classic,enc-cafe,signal,Answer with receipts on the table,"{""credibility"": 2, ""sanity"": -1}","You check every total, exhausted. The reporter asks if you bought breakfast or the diner.",https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
classic_press_pool_qna,"An Interview, Between Refills",Beltway,classic,enc-cafe,signal,Give the mileage from memory,"{""sanity"": 1, ""credibility"": -1}","Quick, painless, wrong. The reporter checks the map. Your estimate has driven farther than the van.",https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
classic_press_pool_qna,"An Interview, Between Refills",Beltway,classic,enc-cafe,signal,Let a crewmate talk; stretch out,"{""credibility"": 0, ""morale"": 1, ""rest"": true}",They take the questions. You become the first person in a political interview to lie down openly.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
classic_radio_phonebank,College Radio Phonebank,Heartland / RustBelt,classic,enc-radio,libraries,Join the live call-in,"{""credibility"": 1, ""morale"": 1}","'Free Wi-Fi scares billionaires,' you tell listeners. 'People might read the second half of the contract.'",https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_radio_phonebank,College Radio Phonebank,Heartland / RustBelt,classic,enc-radio,libraries,Share one snack bundle; rehearse calls,"{""supplies"": -1, ""credibility"": 2}",You pass out snacks and rehearse calls. The script contains fewer apologies than your work emails.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_radio_phonebank,College Radio Phonebank,Heartland / RustBelt,classic,enc-radio,libraries,Record the $8 support spot,"{""sanity"": 1, ""cash_cents"": 800}",You record the spot and pocket eight dollars. Your unpaid opinions are filing a grievance.,https://www.whitehouse.gov/fact-sheets/2025/03/fact-sheet-president-donald-j-trump-continues-the-reduction-of-the-federal-bureaucracy/
classic_service_station,Service Station Handoff,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-service,tariffs,Use spares; rest during servicing,"{""supplies"": -1, ""hp"": 2}",Your spares go in; you rest. The waiting-room chair delivers the recovery Washington advertised.,https://www.govinfo.gov/app/details/DCPD-202500403
classic_service_station,Service Station Handoff,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-service,tariffs,Describe the trouble to apprentices,"{""credibility"": 1}",The apprentices record the symptoms. The van receives more oversight than the tariff plan.,https://www.govinfo.gov/app/details/DCPD-202500403
classic_service_station,Service Station Handoff,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-service,tariffs,Fit your spare wipers,"{""supplies"": -1}",Wipers fitted. You can see the road again. The economic outlook remains streaky.,https://www.govinfo.gov/app/details/DCPD-202500403
classic_union_blockade,Union Solidarity Blockade,RustBelt / Beltway,classic,enc-street,tariffs,Take places on the picket,"{""credibility"": 2, ""morale"": 1}",You raise your signs. Management reports a troubling rise in employee engagement.,https://www.govinfo.gov/app/details/DCPD-202500403
classic_union_blockade,Union Solidarity Blockade,RustBelt / Beltway,classic,enc-street,tariffs,Accept a pack; pass quietly,"{""supplies"": 1}",The steward passes up a road pack. The outside agitators are now carrying snacks.,https://www.govinfo.gov/app/details/DCPD-202500403
classic_union_blockade,Union Solidarity Blockade,RustBelt / Beltway,classic,enc-street,tariffs,Share one supply pack,"{""supplies"": -1, ""morale"": 2}",You open the snacks. The picket's first shareholder meeting distributes actual crackers.,https://www.govinfo.gov/app/details/DCPD-202500403
classic_water_drive,Water Drive Relay,Heartland / Beltway / PacificCoast / MountainWest / Southwest,classic,enc-community,shower,Donate two water bundles,"{""supplies"": -2, ""credibility"": 1}",Drivers refill their bottles. Your water policy has passed its first test: containing water.,https://www.whitehouse.gov/presidential-actions/2025/04/maintaining-acceptable-water-pressure-in-showerheads/
classic_water_drive,Water Drive Relay,Heartland / Beltway / PacificCoast / MountainWest / Southwest,classic,enc-community,shower,Unload for two supply bundles,"{""hp"": -1, ""supplies"": 2}",Two bundles earned. Your arms object to being classified as critical infrastructure.,https://www.whitehouse.gov/presidential-actions/2025/04/maintaining-acceptable-water-pressure-in-showerheads/
deep_circuit_breaker,"One Socket, Six Phones",RustBelt / Beltway,deep / deep_end,enc-service,tariffs,Use a spare adapter; rest,"{""supplies"": -1, ""hp"": 1}",The adapter gets replaced; you get a chair. Neither requires a Senate hearing.,https://www.govinfo.gov/app/details/DCPD-202500403
deep_circuit_breaker,"One Socket, Six Phones",RustBelt / Beltway,deep / deep_end,enc-service,tariffs,Unplug everything; continue without charging,"{""hp"": -1}",Your neck aches over the last charged phone. The other five enjoy tariff protection from electricity.,https://www.govinfo.gov/app/details/DCPD-202500403
deep_circuit_breaker,"One Socket, Six Phones",RustBelt / Beltway,deep / deep_end,enc-service,tariffs,Use two repair packs; document costs,"{""supplies"": -2, ""credibility"": 1}","Fix completed, price notice saved. At last, a rising percentage that isn’t on a price tag.",https://www.govinfo.gov/app/details/DCPD-202500403
deep_field_intel,Carry This to Washington,Heartland / RustBelt,deep / deep_end,enc-library,signal,File the evidence — 1 supply,"{""supplies"": -1, ""credibility"": 2, ""add_receipt"": ""deep_field_intel""}","Sources checked, folder packed. Washington’s homework rides on the floor. It didn’t chip in for gas.",https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_field_intel,Carry This to Washington,Heartland / RustBelt,deep / deep_end,enc-library,signal,Donate storage folders — 2 supplies,"{""supplies"": -2, ""morale"": 2}",Their private copies get separate folders marked ‘PRIVATE.’ The cabinet is welcome to steal this technology.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_field_intel,Carry This to Washington,Heartland / RustBelt,deep / deep_end,enc-library,signal,Check for missed contact details,"{""sanity"": 1}",You catch a phone number in the public copy. One stroke of a pen; no press conference explaining how secure the pen is.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_grassroots_signal,The Rally Address Has Entered the Chat,Heartland / RustBelt / Beltway / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-rest-area,signal,Check and share the organizer’s notice,"{""credibility"": 2}",You confirm the address and send the dated link. The padlock gets promoted to decoration.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_grassroots_signal,The Rally Address Has Entered the Chat,Heartland / RustBelt / Beltway / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-rest-area,signal,Trace and save the screenshots,"{""sanity"": -1, ""add_receipt"": ""deep_grassroots_signal""}","You date the screenshots: wrong town, wrong year. Your phone now needs a cigarette.",https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_grassroots_signal,The Rally Address Has Entered the Chat,Heartland / RustBelt / Beltway / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-rest-area,signal,Forward everything as confirmed,"{""credibility"": -2}",Your directions send a friend to an empty parking lot. Congratulations on organizing a deeply private rally.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_media_ambush,Please Hold While We Check Reality,Beltway / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-media-workshop,weather,Answer using the investigation,"{""sanity"": -1, ""credibility"": 2}",Your answers match the report. Your patience runs out when ‘the president’ asks to speak to the weather’s manager.,https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
deep_media_ambush,Please Hold While We Check Reality,Beltway / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-media-workshop,weather,Practice one answer together,"{""sanity"": 1}",You rehearse ‘Show me where it says that.’ Nobody offers the imaginary president a refill.,https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
deep_media_ambush,Please Hold While We Check Reality,Beltway / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-media-workshop,weather,Send remembered notes; take a nap,"{""sanity"": 2, ""credibility"": -1}","Excellent nap. Incorrect summary. The report has your correction waiting when you wake, like a shift supervisor.",https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
deep_memorandum_dump,The Public Paper Pile,RustBelt,deep / deep_end,enc-library,receipts,Sort and save the dated notices,"{""sanity"": -1, ""credibility"": 2, ""add_receipt"": ""deep_memorandum_dump""}","Head aching, you file the notices. “Savings” takes three folders; “service” fits under CLOSED.",https://abcnews.go.com/US/doge-claims-55-billion-government-cuts-figure-hard/story?id=118966190
deep_memorandum_dump,The Public Paper Pile,RustBelt,deep / deep_end,enc-library,receipts,Mail copies using your stationery,"{""credibility"": 1, ""supplies"": -1}",Copies mailed. Washington’s savings plan is now eating into your envelope stash.,https://abcnews.go.com/US/doge-claims-55-billion-government-cuts-figure-hard/story?id=118966190
deep_memorandum_dump,The Public Paper Pile,RustBelt,deep / deep_end,enc-library,receipts,Store the files; close the folder,"{""sanity"": 2}","Files saved, folder closed. By DOGE standards, you’ve now eliminated all the paperwork.",https://abcnews.go.com/US/doge-claims-55-billion-government-cuts-figure-hard/story?id=118966190
deep_secure_line,"Private Chat, Public Application",Heartland / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-motel,signal,Check the roster; document the problem,"{""sanity"": 1, ""add_receipt"": ""deep_secure_line""}",You record stray contacts without private details. The vending-machine guy confirms he is not HR.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_secure_line,"Private Chat, Public Application",Heartland / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-motel,signal,Repeat the manager’s privacy assurance,"{""credibility"": -1}","‘Totally private,’ you tell everyone. A former employee replies, ‘I quit during the Obama administration.’",https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_secure_line,"Private Chat, Public Application",Heartland / PacificCoast / MountainWest / Southwest,deep / deep_end,enc-motel,signal,Get access rules written — 1 supply,"{""supplies"": -1, ""credibility"": 1}",He lists who may see applications. The housekeeper crosses out ‘everyone in the chat.’ One more mess management expects her to clean.,https://apnews.com/article/c0addd08c627ab01a37ea63621cb695e
deep_state_dirge,The Public Comment Endurance Test,RustBelt / Beltway,deep / deep_end,enc-civic,bullets,Use one snack pack; stay and speak,"{""sanity"": -2, ""credibility"": 3, ""supplies"": -1}","Snacks gone, patience gone, statement recorded. Your three minutes contain more verbs than the chair's hour.",https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
deep_state_dirge,The Public Comment Endurance Test,RustBelt / Beltway,deep / deep_end,enc-civic,bullets,Withdraw; walk back to the van,"{""sanity"": 1, ""credibility"": -2, ""hp"": -1}","You hike back, aching and unheard. The chair records another successful reduction in public complaints.",https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
deep_state_dirge,The Public Comment Endurance Test,RustBelt / Beltway,deep / deep_end,enc-civic,bullets,Take a hallway breather,"{""sanity"": 2, ""credibility"": -1}",You miss your turn but recover your patience. The chair thanks the empty microphone for keeping its comments brief.,https://apnews.com/article/53e59ab9a4bc52ce5553e0e83bb8cc7b
deep_watch_party,"Public Accountability, Folding Chairs",Heartland / Beltway,deep / deep_end,enc-media-workshop,weather,Check the discussion against the investigation,"{""sanity"": -1, ""credibility"": 2}",The dates line up. The excuses don’t. Your headache has excellent supporting documentation.,https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
deep_watch_party,"Public Accountability, Folding Chairs",Heartland / Beltway,deep / deep_end,enc-media-workshop,weather,Save the recording; step outside,"{""sanity"": 1}",You bookmark the discussion and escape the chair. Accountability can continue without conducting experiments on your tailbone.,https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
deep_watch_party,"Public Accountability, Folding Chairs",Heartland / Beltway,deep / deep_end,enc-media-workshop,weather,Share a recap from memory; get some sleep,"{""credibility"": -1, ""rest"": true}","You sleep through the correction to your forwarded claim. A perfect cabinet performance, minus the salary.",https://www.oversight.gov/reports/evaluation-noaas-september-6-2019-statement-about-hurricane-dorian-forecasts
deep_watchdog_sync,Receipts at the Community Table,RustBelt / Beltway,deep / deep_end,enc-library,receipts,Use your paper; share checked examples,"{""supplies"": -1, ""credibility"": 2, ""add_receipt"": ""deep_watchdog_sync""}","Copies made, checked notes saved. The biscuit tin survives its audit without requiring a spokesperson.",https://abcnews.go.com/US/doge-claims-55-billion-government-cuts-figure-hard/story?id=118966190
deep_watchdog_sync,Receipts at the Community Table,RustBelt / Beltway,deep / deep_end,enc-library,receipts,Listen; ask for the sources,"{""sanity"": 1}",The totals finally add up. Somebody checks the calculator for a deep-state switch.,https://abcnews.go.com/US/doge-claims-55-billion-government-cuts-figure-hard/story?id=118966190
deep_watchdog_sync,Receipts at the Community Table,RustBelt / Beltway,deep / deep_end,enc-library,receipts,Post the unchecked notes,"{""credibility"": -2}",Your total gets corrected. Congratulations: you've brought federal accounting standards to the neighborhood.,https://abcnews.go.com/US/doge-claims-55-billion-government-cuts-figure-hard/story?id=118966190
fundraiser_detour,Fundraiser Detour,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-community,food,Contribute two bundles and mingle,"{""supplies"": -2, ""credibility"": 1}",You supply actual food. The organizer puts your names above the company that donated a JPEG.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
fundraiser_detour,Fundraiser Detour,Heartland / RustBelt / PacificCoast / MountainWest / Southwest,classic,enc-community,food,Skip it; stay on route,"{""hp"": 0, ""sanity"": 1, ""supplies"": 0}",You skip the speeches. The engine makes fewer promises and is noticeably easier to interrupt.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
raw_milk,Corporate Says It’s Healthy,Heartland / PacificCoast / MountainWest / Southwest,classic / deep_end,enc-community,maha,Drink the free milk,"{""hp"": -1, ""sanity"": -1}",Your stomach begins its own review. The next exit becomes the only policy issue that matters.,https://abcnews.go.com/Politics/rfk-jrs-maha-report-contained-existent-studies/story?id=122321059
raw_milk,Corporate Says It’s Healthy,Heartland / PacificCoast / MountainWest / Southwest,classic / deep_end,enc-community,maha,Decline; check the study links,"{""credibility"": 1, ""morale"": 1}",The cited study isn’t about milk. You show the attendant. Corporate’s science joins the recycling.,https://abcnews.go.com/Politics/rfk-jrs-maha-report-contained-existent-studies/story?id=122321059
raw_milk,Corporate Says It’s Healthy,Heartland / PacificCoast / MountainWest / Southwest,classic / deep_end,enc-community,maha,Take one free snack pack,"{""supplies"": 1}",You stash the snacks. Their ingredients list fits on the wrapper without a presidential commission.,https://abcnews.go.com/Politics/rfk-jrs-maha-report-contained-existent-studies/story?id=122321059
tariff_whiplash,Tariff Whiplash,RustBelt / Beltway / PacificCoast / MountainWest / Southwest,classic / deep_end,enc-service,tariffs,Check terms; trade two supply packs,"{""supplies"": -2, ""credibility"": 1}",Two packs gone; surcharge documented. Your signature apparently approved whatever number came next.,https://www.govinfo.gov/app/details/DCPD-202500403
tariff_whiplash,Tariff Whiplash,RustBelt / Beltway / PacificCoast / MountainWest / Southwest,classic / deep_end,enc-service,tariffs,Claim the extra pack was included,"{""supplies"": 1, ""credibility"": -1}",You get the extra pack and lose the benefit of the doubt. Management material.,https://www.govinfo.gov/app/details/DCPD-202500403
tariff_whiplash,Tariff Whiplash,RustBelt / Beltway / PacificCoast / MountainWest / Southwest,classic / deep_end,enc-service,tariffs,Compare slips; offer one supply pack,"{""supplies"": -1, ""credibility"": 2}","One pack accepted, corrected terms saved. Corporate's positive-attitude email survives every revision.",https://www.govinfo.gov/app/details/DCPD-202500403
town_hall_drift,Has Anyone Tried Paying the Rent?,Heartland / RustBelt,classic,enc-civic,maha,Wait your turn to read the rent figures,"{""credibility"": 2, ""sanity"": -1, ""hp"": -1}",Standing wears you out. You read the posted rents aloud; he cuts the mic. The room is now officially affordable.,https://abcnews.go.com/Politics/rfk-jrs-maha-report-contained-existent-studies/story?id=122321059
town_hall_drift,Has Anyone Tried Paying the Rent?,Heartland / RustBelt,classic,enc-civic,maha,Stay for the neighbors’ complaints,"{""sanity"": 1, ""morale"": 2, ""hp"": -1}","Your legs ache. A tenant suggests listing the council member on Airbnb: spacious, vacant, difficult to contact.",https://abcnews.go.com/Politics/rfk-jrs-maha-report-contained-existent-studies/story?id=122321059
town_hall_drift,Has Anyone Tried Paying the Rent?,Heartland / RustBelt,classic,enc-civic,maha,Retreat; quote rents from memory,"{""sanity"": 2, ""credibility"": -1}","The quiet helps. Your ‘rents doubled’ claim fails a phone check. You try again, louder.",https://abcnews.go.com/Politics/rfk-jrs-maha-report-contained-existent-studies/story?id=122321059
deep_waystation_boost,Heartland Waystation,Heartland,deep / deep_end,enc-convoy,food,Stack crates; take the fastest shortcut,"{""travel_bonus_ratio"": 0.4, ""sanity"": 1}",You move the crates and skip the jam. Six workers outmaneuver a planning committee without appointing one.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
deep_waystation_boost,Heartland Waystation,Heartland,deep / deep_end,enc-convoy,food,Drink their coffee; take the easier route,"{""travel_bonus_ratio"": 0.25, ""morale"": 1}",Coffee improves the directions. The driver narrates the map like the van has acquired a sports commentator.,https://content.govdelivery.com/accounts/WIDATCP/bulletins/3d6544a
deep_rustbelt_convoy,Rust Belt Convoy,RustBelt,deep / deep_end,enc-convoy,tariffs,Share a pack; follow the lead,"{""travel_bonus_ratio"": 0.5, ""supplies"": -1}","Snacks shared, miles gained. The trucker’s “Follow me” is the shortest trade policy you’ve heard all day.",https://www.govinfo.gov/app/details/DCPD-202500403
