unit_id,family_id,variant,category,mode,runtime_key,scope,in_content_release,source_scene_id,scene_direction,overlay_count,asset_mapping_status
ALLY-01-A,ALLY-01,A,Ally-departure vignettes,Shared,ally_loss.reason_0,compatible_narrative,true,ally-01-a-scene,Outside contact photographs red hats beside a ring light while a blank goodbye message appears in an inset.,2,needs_art_catalog_mapping
ALLY-01-B,ALLY-01,B,Ally-departure vignettes,Shared,ally_loss.reason_0,compatible_narrative,false,ally-01-b-scene,Outside contact stands beside plain cartons of hats and a customs bill; the traveling crew sees the request on a blank phone.,1,needs_art_catalog_mapping
ALLY-01-C,ALLY-01,C,Ally-departure vignettes,Shared,ally_loss.reason_0,compatible_narrative,false,ally-01-c-scene,"Outside contact adjusts an enormous donor-event microphone while a small, unconnected microphone sits aside.",1,needs_art_catalog_mapping
ALLY-02-A,ALLY-02,A,Ally-departure vignettes,Shared,ally_loss.reason_1,compatible_narrative,true,ally-02-a-scene,Outside contact carries a box of desk belongings past an empty public-service counter; blank forms overflow the box.,1,needs_art_catalog_mapping
ALLY-02-B,ALLY-02,B,Ally-departure vignettes,Shared,ally_loss.reason_1,compatible_narrative,false,ally-02-b-scene,Outside contact holds a disconnected office headset beside a cardboard box; the same extension appears only as an editable overlay.,1,needs_art_catalog_mapping
ALLY-02-C,ALLY-02,C,Ally-departure vignettes,Shared,ally_loss.reason_1,compatible_narrative,false,ally-02-c-scene,Outside contact packs an office desk while the owner’s adult son occupies a larger desk behind them.,1,needs_art_catalog_mapping
ALLY-03-A,ALLY-03,A,Ally-departure vignettes,Shared,ally_loss.reason_2,compatible_narrative,true,ally-03-a-scene,Outside contact checks a garage invoice beside a work apron and an overnight shift alarm.,1,needs_art_catalog_mapping
ALLY-03-B,ALLY-03,B,Ally-departure vignettes,Shared,ally_loss.reason_2,compatible_narrative,false,ally-03-b-scene,Outside contact puts a medical bill under a second job’s timecard; no dollar figures embedded.,1,needs_art_catalog_mapping
ALLY-03-C,ALLY-03,C,Ally-departure vignettes,Shared,ally_loss.reason_2,compatible_narrative,false,ally-03-c-scene,Outside contact pulls on a second work apron beside a sparsely filled grocery bag.,1,needs_art_catalog_mapping
ALLY-04-A,ALLY-04,A,Ally-departure vignettes,Shared,ally_loss.reason_3,compatible_narrative,true,ally-04-a-scene,"Outside contact sets up rival-color merchandise tables, with an identical blank card reader on each.",1,needs_art_catalog_mapping
ALLY-04-B,ALLY-04,B,Ally-departure vignettes,Shared,ally_loss.reason_3,compatible_narrative,false,ally-04-b-scene,Outside contact flips reversible blank souvenir tags on identical coastal trinkets.,2,needs_art_catalog_mapping
ALLY-04-C,ALLY-04,C,Ally-departure vignettes,Shared,ally_loss.reason_3,compatible_narrative,false,ally-04-c-scene,"Outside contact works at a laptop beside a monthly calendar and a theatrical countdown clock, all text as overlays.",1,needs_art_catalog_mapping
ALLY-05-A,ALLY-05,A,Ally-departure vignettes,Shared,ally_loss.reason_4,compatible_narrative,true,ally-05-a-scene,Outside contact closes a blank group-chat screen with a physical padlock lying uselessly beside the phone.,1,needs_art_catalog_mapping
ALLY-05-B,ALLY-05,B,Ally-departure vignettes,Shared,ally_loss.reason_4,compatible_narrative,false,ally-05-b-scene,Outside contact shields blank milk bottles from a phone displaying an unanswered crew message.,1,needs_art_catalog_mapping
ALLY-05-C,ALLY-05,C,Ally-departure vignettes,Shared,ally_loss.reason_4,compatible_narrative,false,ally-05-c-scene,Outside contact pushes an unlettered receipt away while blocking a message on a blank phone.,1,needs_art_catalog_mapping
ALLY-06-A,ALLY-06,A,Ally-departure vignettes,Shared,ally_loss.reason_5,compatible_narrative,true,ally-06-a-scene,Outside contact rests an injured ankle beside a closed ramp; well-dressed guests use a nearby unobstructed entry.,1,needs_art_catalog_mapping
ALLY-06-B,ALLY-06,B,Ally-departure vignettes,Shared,ally_loss.reason_5,compatible_narrative,false,ally-06-b-scene,Outside contact sits with a sore back beside cleaning equipment and an empty service desk.,1,needs_art_catalog_mapping
ALLY-06-C,ALLY-06,C,Ally-departure vignettes,Shared,ally_loss.reason_5,compatible_narrative,false,ally-06-c-scene,Outside contact rests a sore shoulder beside speakers on a handcart; a distant donor event has professional stagehands.,1,needs_art_catalog_mapping
CARE-01-A,CARE-01,A,Crew-care scenarios,Shared,trail.care_reason_0,compatible_narrative,true,care-01-a-scene,The affected traveler heads toward a portable toilet while a raw-milk vendor proudly presents an unlettered bottle. A small knife-shaped shadow falls from the bottle; no violence.,2,needs_art_catalog_mapping
CARE-01-B,CARE-01,B,Crew-care scenarios,Shared,trail.care_reason_0,compatible_narrative,false,care-01-b-scene,Unplugged mini-fridge behind a MAHA vendor; affected traveler leaning near a wash station. The unplugged cable is the focal gag.,2,needs_art_catalog_mapping
CARE-01-C,CARE-01,C,Crew-care scenarios,Shared,trail.care_reason_0,compatible_narrative,false,care-01-c-scene,Vendor offers another blank milk bottle while the ill traveler sits beside the van. Keep the second bottle sealed and conspicuously separate.,22,needs_art_catalog_mapping
CARE-02-A,CARE-02,A,Crew-care scenarios,Shared,trail.care_reason_1,compatible_narrative,true,care-02-a-scene,Dehydrated traveler rests beside unloaded crates. A boss stands with a marker beside a blank warning board; heat shimmers beyond his small patch of shade.,3,needs_art_catalog_mapping
CARE-02-B,CARE-02,B,Crew-care scenarios,Shared,trail.care_reason_1,compatible_narrative,false,care-02-b-scene,A boss blocks a shaded water cooler while the affected traveler sits among delivery crates. His own full glass has condensation.,13,needs_art_catalog_mapping
CARE-02-C,CARE-02,C,Crew-care scenarios,Shared,trail.care_reason_1,compatible_narrative,false,care-02-c-scene,"Rally-stage crates on hot asphalt, traveler in shade, organizer leaning protectively over a private ice cooler. No baked-in rally lettering.",18,needs_art_catalog_mapping
CARE-03-A,CARE-03,A,Crew-care scenarios,Shared,trail.care_reason_2,compatible_narrative,true,care-03-a-scene,Exhausted traveler at a late-night diner table with a small mountain of blank forms and a crumpled work glove.,26,needs_art_catalog_mapping
CARE-03-B,CARE-03,B,Crew-care scenarios,Shared,trail.care_reason_2,compatible_narrative,false,care-03-b-scene,Traveler nods over a laptop beside a former public worker holding a plain résumé; repetitive empty form boxes remain blank for overlays.,19,needs_art_catalog_mapping
CARE-03-C,CARE-03,C,Crew-care scenarios,Shared,trail.care_reason_2,compatible_narrative,false,care-03-c-scene,Exhausted adult traveler faces a blank application while a contractor’s family portrait prominently displays a child in an oversized executive chair.,18,needs_art_catalog_mapping
CARE-04-A,CARE-04,A,Crew-care scenarios,Shared,trail.care_reason_3,compatible_narrative,true,care-04-a-scene,"Wellness stall with unlettered tonic bottles and a bucket beneath the counter; affected traveler turned away, vendor holding a blank loyalty card.",2,needs_art_catalog_mapping
CARE-04-B,CARE-04,B,Crew-care scenarios,Shared,trail.care_reason_3,compatible_narrative,false,care-04-b-scene,Ill traveler beside a wellness display; vendor scrutinizes an unmarked powder sachet through a magnifying glass as though it were a suspicious ballot.,15,needs_art_catalog_mapping
CARE-04-C,CARE-04,C,Crew-care scenarios,Shared,trail.care_reason_3,compatible_narrative,false,care-04-c-scene,Vendor gestures away from an unlettered supplement bottle toward the affected traveler; a second stall worker quietly flips a blank guarantee card.,20,needs_art_catalog_mapping
CARE-05-A,CARE-05,A,Crew-care scenarios,Shared,trail.care_reason_4,compatible_narrative,true,care-05-a-scene,Traveler slumps between two otherwise identical blank maps; the route lines match precisely while removable label boxes sit in different piles.,2,needs_art_catalog_mapping
CARE-05-B,CARE-05,B,Crew-care scenarios,Shared,trail.care_reason_4,compatible_narrative,false,care-05-b-scene,"Exhausted traveler compares an old folded guide with a blank digital map, both showing the same unmistakable mountain silhouette.",2,needs_art_catalog_mapping
CARE-05-C,CARE-05,C,Crew-care scenarios,Shared,trail.care_reason_4,compatible_narrative,false,care-05-c-scene,A traveler studies a route loop on a blank phone beside the van; the same distinctive gas-station statue appears through both windows.,36,needs_art_catalog_mapping
CARE-06-A,CARE-06,A,Crew-care scenarios,Shared,trail.care_reason_5,compatible_narrative,true,care-06-a-scene,Exhausted traveler at a garage counter holding a white napkin near a blank card reader; an unlettered parts box sits between them and the cashier.,2,needs_art_catalog_mapping
CARE-06-B,CARE-06,B,Crew-care scenarios,Shared,trail.care_reason_5,compatible_narrative,false,care-06-b-scene,Traveler draws arrows between an unlettered invoice and a nearly empty wallet; every arrow returns to the wallet.,21,needs_art_catalog_mapping
CARE-06-C,CARE-06,C,Crew-care scenarios,Shared,trail.care_reason_5,compatible_narrative,false,care-06-c-scene,Sleep-deprived traveler holds a phone while another handset in the van visibly vibrates beside a blank parts invoice.,17,needs_art_catalog_mapping
CARE-07-A,CARE-07,A,Crew-care scenarios,Shared,trail.care_reason_6,compatible_narrative,true,care-07-a-scene,"Traveler nods over a plain laptop while five physical work objects—keys, gloves, brush, map and radio—line the table.",0,needs_art_catalog_mapping
CARE-07-B,CARE-07,B,Crew-care scenarios,Shared,trail.care_reason_6,compatible_narrative,false,care-07-b-scene,Traveler in the van faces an overflowing blank chat screen; nearby delivery driver holds a pizza box and a phone with the same notification shapes.,22,needs_art_catalog_mapping
CARE-07-C,CARE-07,C,Crew-care scenarios,Shared,trail.care_reason_6,compatible_narrative,false,care-07-c-scene,Sleep-deprived traveler turns down a blank phone screen showing only an oversized padlock icon; generic notification tiles pile behind it.,16,needs_art_catalog_mapping
CARE-08-A,CARE-08,A,Crew-care scenarios,Shared,trail.care_reason_7,compatible_narrative,true,care-08-a-scene,Injured traveler beside crates of blank memoir covers; an affluent fundraiser guest steps around the crates toward a podium. Other crew remain by the van.,19,needs_art_catalog_mapping
CARE-08-B,CARE-08,B,Crew-care scenarios,Shared,trail.care_reason_7,compatible_narrative,false,care-08-b-scene,Affected traveler sits beside heavy donated groceries; fictional politician comfortably lifts an obviously empty open-bottomed box for a photographer.,15,needs_art_catalog_mapping
CARE-08-C,CARE-08,C,Crew-care scenarios,Shared,trail.care_reason_7,compatible_narrative,false,care-08-c-scene,Strained traveler beside sacks and an unused hand truck; a volunteer looks up at a completely ordinary dry ceiling.,13,needs_art_catalog_mapping
COND-CLEAR-A,COND-CLEAR,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-clear-a-scene,Clear sky over the van; a radio inside carries a boastful announcement through a separate overlay.,0,needs_art_catalog_mapping
COND-CLEAR-B,COND-CLEAR,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-clear-b-scene,"Open road beneath clear sky, with an unused marker lying beside a folded weather map.",0,needs_art_catalog_mapping
COND-CLEAR-C,COND-CLEAR,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-clear-c-scene,Sunlit van and an ordinary weather radio beside an unlettered forecast map.,0,needs_art_catalog_mapping
COND-COLD-A,COND-COLD,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-cold-a-scene,Travelers bundle up by the van while a warmly lit donor-dinner image appears on a blank display.,0,needs_art_catalog_mapping
COND-COLD-B,COND-COLD,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-cold-b-scene,"Cold travelers outside a visibly closed visitor center, with a blank reduced-hours notice on the locked door.",0,needs_art_catalog_mapping
COND-COLD-C,COND-COLD,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-cold-c-scene,Crew shares appropriate blankets beside the van under a blank luxury-donor billboard.,0,needs_art_catalog_mapping
COND-COLDEXPOSURE-A,COND-COLDEXPOSURE,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-coldexposure-a-scene,"Cold travelers seek real shelter while one keeps a stiff, blank donor leaflet folded inside a bag, never portrayed as adequate care.",0,needs_art_catalog_mapping
COND-COLDEXPOSURE-B,COND-COLDEXPOSURE,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-coldexposure-b-scene,"Crew reaches an available sheltered spot beside a locked, unstaffed public building with a blank hours notice.",0,needs_art_catalog_mapping
COND-COLDEXPOSURE-C,COND-COLDEXPOSURE,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-coldexposure-c-scene,Affected traveler holds a hand near a radio before turning toward real shelter offered by the scene.,0,needs_art_catalog_mapping
COND-HEAT-A,COND-HEAT,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-heat-a-scene,"Travelers sit in shade beside the van, with visibly hot upholstery and an ordinary water bottle.",0,needs_art_catalog_mapping
COND-HEAT-B,COND-HEAT,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-heat-b-scene,Heat haze bends the road; a traveler cautiously hovers a hand above the hot steering wheel.,0,needs_art_catalog_mapping
COND-HEAT-C,COND-HEAT,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-heat-c-scene,"Crew seeks shade outside the van; a distant broadcast image shows a suited official beside visible cooling vents, with no text.",0,needs_art_catalog_mapping
COND-HEATEXPOSURE-A,COND-HEATEXPOSURE,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-heatexposure-a-scene,"Affected travelers sit in available shade with water and clear heat distress, never a comic corpse.",0,needs_art_catalog_mapping
COND-HEATEXPOSURE-B,COND-HEATEXPOSURE,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-heatexposure-b-scene,Traveler avoids a hot steering wheel while a capped marker rests on an unaltered blank forecast map.,0,needs_art_catalog_mapping
COND-HEATEXPOSURE-C,COND-HEATEXPOSURE,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-heatexposure-c-scene,Travelers shelter beneath the shade of a large blank energy-event banner; no graphic injury.,0,needs_art_catalog_mapping
COND-HUNGER-A,COND-HUNGER,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-hunger-a-scene,Empty bowl held below an ordinary radio inside the van; no magic food or actual benefit enrollment implied.,0,needs_art_catalog_mapping
COND-HUNGER-B,COND-HUNGER,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-hunger-b-scene,Travelers look from a sparse food bag toward a shop window filled with unreachable groceries and blank price tags.,0,needs_art_catalog_mapping
COND-HUNGER-C,COND-HUNGER,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-hunger-c-scene,Hungry travelers compare a modest food bag with a blank donor-dinner leaflet showing an extravagant plate.,0,needs_art_catalog_mapping
COND-ILLNESS-A,COND-ILLNESS,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-illness-a-scene,An unwell current traveler rests beside plain care supplies and a muted budget-news broadcast.,0,needs_art_catalog_mapping
COND-ILLNESS-B,COND-ILLNESS,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-illness-b-scene,"Affected traveler rests in a modest chair while a glossy, unlettered wellness poster hangs far behind.",0,needs_art_catalog_mapping
COND-ILLNESS-C,COND-ILLNESS,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-illness-c-scene,Unwell traveler under a blanket with a blank work-requirements form deliberately set aside.,0,needs_art_catalog_mapping
COND-SMOKE-A,COND-SMOKE,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-smoke-a-scene,Smoky road beyond tightly closed van windows; travelers check conditions on a blank phone.,0,needs_art_catalog_mapping
COND-SMOKE-B,COND-SMOKE,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-smoke-b-scene,"The van faces a road fading into smoke, with the next road sign only a silhouette and no legible text.",0,needs_art_catalog_mapping
COND-SMOKE-C,COND-SMOKE,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-smoke-c-scene,Smoky air surrounds an industrial-history display outside a closed van window; the panel remains blank for overlays.,0,needs_art_catalog_mapping
COND-STORM-A,COND-STORM,A,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,true,cond-storm-a-scene,Rain beats against the van while a traveler holds a small marker beneath an enormous storm front.,0,needs_art_catalog_mapping
COND-STORM-B,COND-STORM,B,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-storm-b-scene,Travelers catch a roof drip in a cup while moving a radio out of its path.,0,needs_art_catalog_mapping
COND-STORM-C,COND-STORM,C,"Weather, illness, hunger, and exposure",Shared,,compatible_narrative,false,cond-storm-c-scene,Wet van interior with two unlettered maps and one saturated towel between them.,0,needs_art_catalog_mapping
CONTEXT-D-C,,,Endpoint-context records,Shared,D.C.,reference_or_functional,false,context-d-c-scene,"A restrained origin or destination establishing shot for D.C., using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CONTEXT-LOS-ANGELES,,,Endpoint-context records,Shared,Los Angeles,reference_or_functional,false,context-los-angeles-scene,"A restrained origin or destination establishing shot for Los Angeles, using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CONTEXT-PORTLAND,,,Endpoint-context records,Shared,Portland,reference_or_functional,false,context-portland-scene,"A restrained origin or destination establishing shot for Portland, using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CONTEXT-SACRAMENTO,,,Endpoint-context records,Shared,Sacramento,reference_or_functional,false,context-sacramento-scene,"A restrained origin or destination establishing shot for Sacramento, using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CONTEXT-SAN-DIEGO,,,Endpoint-context records,Shared,San Diego,reference_or_functional,false,context-san-diego-scene,"A restrained origin or destination establishing shot for San Diego, using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CONTEXT-SAN-FRANCISCO,,,Endpoint-context records,Shared,San Francisco,reference_or_functional,false,context-san-francisco-scene,"A restrained origin or destination establishing shot for San Francisco, using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CONTEXT-SEATTLE,,,Endpoint-context records,Shared,Seattle,reference_or_functional,false,context-seattle-scene,"A restrained origin or destination establishing shot for Seattle, using its sourced town-profile attraction where appropriate. An origin shows the six departing travelers; D.C. shows only actual arrivals. Keep all lettering separate.",0,needs_art_catalog_mapping
CROSS-01-A,CROSS-01,A,Crossing packages,Shared,,compatible_narrative,true,cross-01-a-scene,Officer peers suspiciously into the open hood of the stopped van; an ordinary alternator becomes the focal point. No dismantling or damage.,0,needs_art_catalog_mapping
CROSS-01-B,CROSS-01,B,Crossing packages,Shared,,compatible_narrative,false,cross-01-b-scene,"Officer holds a folded blank map at arm’s length beside the waiting van. The tiny coastal area, not any human ethnicity, is the visual target.",0,needs_art_catalog_mapping
CROSS-01-C,CROSS-01,C,Crossing packages,Shared,,compatible_narrative,false,cross-01-c-scene,An officer bends toward a blank manufacturer plate while the travelers wait beside the van; a towering stack of blank forms dwarfs the tiny plate.,0,needs_art_catalog_mapping
CROSS-02C-A,CROSS-02C,A,Crossing packages,Classic,,compatible_narrative,true,cross-02c-a-scene,Two tired crossing workers physically support a raised barrier beside an oversized blank office nameplate; the van remains on the approach.,0,needs_art_catalog_mapping
CROSS-02C-B,CROSS-02C,B,Crossing packages,Classic,,compatible_narrative,false,cross-02c-b-scene,"Boss proudly displays a blank inspection sheet beside an obvious concrete crack, with the waiting van safely before the crossing.",0,needs_art_catalog_mapping
CROSS-02C-C,CROSS-02C,C,Crossing packages,Classic,,compatible_narrative,false,cross-02c-c-scene,Crossing worker holds a blank steel quote beside a solitary cone and an unfinished repair area. Keep the van safely on the approach.,0,needs_art_catalog_mapping
CROSS-02D-A,CROSS-02D,A,Crossing packages,Deep End,,compatible_narrative,true,cross-02d-a-scene,Officer presents a blank loyalty questionnaire to the waiting travelers; a huge blank patriotic banner nearly conceals a broken lane marker.,0,needs_art_catalog_mapping
CROSS-02D-B,CROSS-02D,B,Crossing packages,Deep End,,compatible_narrative,false,cross-02d-b-scene,Empty clerk booth with a blank touchscreen and a sticky note showing only a crude human sketch. The payment reader remains conspicuously lit.,0,needs_art_catalog_mapping
CROSS-02D-C,CROSS-02D,C,Crossing packages,Deep End,,compatible_narrative,false,cross-02d-c-scene,Confused guard checks a blank phone beside a lowered barrier; a peanut vendor farther back casually checks his own phone.,0,needs_art_catalog_mapping
CROSS-03-A,CROSS-03,A,Crossing packages,Shared,,compatible_narrative,true,cross-03-a-scene,"Official peers into the ordinary van, then gestures toward a cash tray. The travelers’ case folder sits plainly in view.",0,needs_art_catalog_mapping
CROSS-03-B,CROSS-03,B,Crossing packages,Shared,,compatible_narrative,false,cross-03-b-scene,"Officer weighs a thick, unlettered case folder beside a conspicuously thin blank official-history booklet, with the van waiting behind.",0,needs_art_catalog_mapping
CROSS-03-C,CROSS-03,C,Crossing packages,Shared,,compatible_narrative,false,cross-03-c-scene,An official balances blank appointment papers on an upturned bucket where a desk used to stand. Keep the van before the barrier.,0,needs_art_catalog_mapping
ENC-C01-A,ENC-C01,A,Road encounters,Classic,classic_bridge_crews,compatible_narrative,true,enc-c01-a-display,National-park picnic area beside the stopped van,0,needs_art_catalog_mapping
ENC-C01-B,ENC-C01,B,Road encounters,Classic,classic_bridge_crews,compatible_narrative,false,enc-c01-b-display,Roadside repair co-op with salvage appliances,1,needs_art_catalog_mapping
ENC-C01-C,ENC-C01,C,Road encounters,Classic,classic_bridge_crews,compatible_narrative,false,enc-c01-c-display,Small town museum with a factory-gate exhibit,1,needs_art_catalog_mapping
ENC-C02-A,ENC-C02,A,Road encounters,Classic,classic_civic_potluck,compatible_narrative,true,enc-c02-a-display,Community pantry beside the highway,1,needs_art_catalog_mapping
ENC-C02-B,ENC-C02,B,Road encounters,Classic,classic_civic_potluck,compatible_narrative,false,enc-c02-b-display,Church-hall supper with a benefit-paperwork table,1,needs_art_catalog_mapping
